service_id,date,exception_type
20220522_MTWTF--_1,20230925,1
20220522_MTWTF--_2,20230925,1
20220522_MTWTF--_3,20230925,1
20220904_M-W-F--_11,20230925,1
20220904_MT--F--_12,20230925,1
20220904_MT-TF--_13,20230925,1
20220904_MTW-F--_14,20230925,1
20220904_MTWT---_15,20230925,1
20220904_MTWTF--_16,20230925,1
20220904_MTWTF--_19,20230925,1
20220904_MTWTF--_27,20230925,1
20220905_MTWTF--_28,20230925,1
20220905_MTWTF--_38,20230925,1
20220926_M-W-F--_36,20230925,1
20230820_MTWTF--_42,20230925,1
20230821_MTWTF--_49,20230925,1
20230821_MTWTF--_50,20230925,1
20230823_MTWTF--_83,20230925,1
20220522_MTWTF--_1,20230926,1
20220522_MTWTF--_2,20230926,1
20220522_MTWTF--_3,20230926,1
20220904_-T-----_23,20230926,1
20220904_MT--F--_12,20230926,1
20220904_MT-TF--_13,20230926,1
20220904_MTW-F--_14,20230926,1
20220904_MTWT---_15,20230926,1
20220904_MTWTF--_16,20230926,1
20220904_MTWTF--_19,20230926,1
20220904_MTWTF--_27,20230926,1
20220905_MTWTF--_28,20230926,1
20220905_MTWTF--_38,20230926,1
20230820_MTWTF--_42,20230926,1
20230821_MTWTF--_49,20230926,1
20230821_MTWTF--_50,20230926,1
20230823_MTWTF--_83,20230926,1
20220522_MTWTF--_1,20230927,1
20220522_MTWTF--_2,20230927,1
20220522_MTWTF--_3,20230927,1
20220904_--W----_82,20230927,1
20220904_--WT---_10,20230927,1
20220904_M-W-F--_11,20230927,1
20220904_MTW-F--_14,20230927,1
20220904_MTWT---_15,20230927,1
20220904_MTWTF--_16,20230927,1
20220904_MTWTF--_19,20230927,1
20220904_MTWTF--_27,20230927,1
20220905_MTWTF--_28,20230927,1
20220905_MTWTF--_38,20230927,1
20220926_M-W-F--_36,20230927,1
20230820_MTWTF--_42,20230927,1
20230821_MTWTF--_49,20230927,1
20230821_MTWTF--_50,20230927,1
20230823_MTWTF--_83,20230927,1
